serial_number,activity_date,facility_name,violation_code,violation_description,violation_status,points,grade,facility_address,facility_city,facility_id,facility_state,facility_zip,employee_id,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,score,service_code,service_description,row_id
DA08R0TCU,03/30/2018 12:00:00 AM,KRUANG TEDD,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,1,A,5151 HOLLYWOOD BLVD,LOS ANGELES,FA0064949,CA,90027,EE0000857,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KRUANG TEDD,ACTIVE,PR0031205,92,1,ROUTINE INSPECTION,DA08R0TCUF030
DA08R0TCU,03/30/2018 12:00:00 AM,KRUANG TEDD,F027,# 27. Food separated and protected,OUT OF COMPLIANCE,1,A,5151 HOLLYWOOD BLVD,LOS ANGELES,FA0064949,CA,90027,EE0000857,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KRUANG TEDD,ACTIVE,PR0031205,92,1,ROUTINE INSPECTION,DA08R0TCUF027
DA08R0TCU,03/30/2018 12:00:00 AM,KRUANG TEDD,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,1,A,5151 HOLLYWOOD BLVD,LOS ANGELES,FA0064949,CA,90027,EE0000857,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KRUANG TEDD,ACTIVE,PR0031205,92,1,ROUTINE INSPECTION,DA08R0TCUF035
DA08R0TCU,03/30/2018 12:00:00 AM,KRUANG TEDD,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,1,A,5151 HOLLYWOOD BLVD,LOS ANGELES,FA0064949,CA,90027,EE0000857,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KRUANG TEDD,ACTIVE,PR0031205,92,1,ROUTINE INSPECTION,DA08R0TCUF033
DA08R0TCU,03/30/2018 12:00:00 AM,KRUANG TEDD,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE,1,A,5151 HOLLYWOOD BLVD,LOS ANGELES,FA0064949,CA,90027,EE0000857,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KRUANG TEDD,ACTIVE,PR0031205,92,1,ROUTINE INSPECTION,DA08R0TCUF029
DA08R0TCU,03/30/2018 12:00:00 AM,KRUANG TEDD,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,1,A,5151 HOLLYWOOD BLVD,LOS ANGELES,FA0064949,CA,90027,EE0000857,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KRUANG TEDD,ACTIVE,PR0031205,92,1,ROUTINE INSPECTION,DA08R0TCUF044
DA08R0TCU,03/30/2018 12:00:00 AM,KRUANG TEDD,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,2,A,5151 HOLLYWOOD BLVD,LOS ANGELES,FA0064949,CA,90027,EE0000857,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KRUANG TEDD,ACTIVE,PR0031205,92,1,ROUTINE INSPECTION,DA08R0TCUF006
DA0GBKW3F,03/30/2018 12:00:00 AM,SPROUTS FARMERS MARKET#403,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,1,A,2245 YOSEMITE DR,LOS ANGELES,FA0224114,CA,90041-2618,EE0000162,OW0033830,"SPROUTS, INC.","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,MEAT MARKET,ACTIVE,PR0179289,97,1,ROUTINE INSPECTION,DA0GBKW3FF044
DA0GBKW3F,03/30/2018 12:00:00 AM,SPROUTS FARMERS MARKET#403,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,1,A,2245 YOSEMITE DR,LOS ANGELES,FA0224114,CA,90041-2618,EE0000162,OW0033830,"SPROUTS, INC.","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,MEAT MARKET,ACTIVE,PR0179289,97,1,ROUTINE INSPECTION,DA0GBKW3FF039
DA0GBKW3F,03/30/2018 12:00:00 AM,SPROUTS FARMERS MARKET#403,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,1,A,2245 YOSEMITE DR,LOS ANGELES,FA0224114,CA,90041-2618,EE0000162,OW0033830,"SPROUTS, INC.","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,MEAT MARKET,ACTIVE,PR0179289,97,1,ROUTINE INSPECTION,DA0GBKW3FF037
DA0HEAJNR,03/30/2018 12:00:00 AM,LOS ANGELES NEW YORK PIZZA,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,1,A,518 W 6TH ST,LOS ANGELES,FA0022748,CA,90014,EE0000721,OW0017480,JAYSUKHGHQI T PATEL,RESTAURANT (31-60) SEATS MODERATE RISK,1634,LOS ANGELES NEW YORK PIZZA,ACTIVE,PR0031535,92,1,ROUTINE INSPECTION,DA0HEAJNRF044
